pwc_id;pwc_doc_id;FY;Entry_date;GroupDate;Document_Type;Entry_number;Document_number;Source Type;Source_number;Transaction number;System-Created Entry;User;Entry_amount;Document Date;bal_account_number;Journal Batch Name;Account;Debit_account;Credit_account;Job No#;Specialism code;Gen_Posting_Type;Business line code;Gen_Bus_Posting_Group;Gen_Prod_Posting_Group;Bal_Account_Type;Allocated;Allocation From GL Entry No;Allocation Document No;Consultant code;Associate Код;Customer code;Reversed
75236;8621;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1226827;ТАО-10-00864;"      ";;325512;Yes;SMIRNOVA;-233.90;2018-10-31 00:00:00.000;;;10.06;NULL;10.06;;ZZ101;"      ";H;;;G/L Account;No;0;;;;;No
75238;8621;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1226829;ТАО-10-00864;"      ";;325512;Yes;SMIRNOVA;-580.60;2018-10-31 00:00:00.000;;;10.06;NULL;10.06;;ZZ101;"      ";H;;;G/L Account;No;0;;;;;No
75254;18154;2018;2018-05-18 00:00:00.000;2018-05-18 00:00:00.000;Payment;1101892;G47800;Bank Account;БАНК081;291599;Yes;KOCHETKOVAN;-1532.60;2018-05-18 00:00:00.000;00001728;СИТИ З/П;51.03;NULL;51.03;;;"      ";;;;Vendor;No;0;;;;;No
66545;12532;2018;2018-04-13 00:00:00.000;2018-04-13 00:00:00.000;Invoice;1078580;ПОАВ-10-03906;Vendor;0000000182;285552;Yes;SHATOBOE;15.10;2018-04-13 00:00:00.000;;;19.03;19.03;NULL;;FA;"      ";P;;;G/L Account;No;0;;;;;No
66546;11891;2018;2018-07-31 00:00:00.000;2018-07-31 00:00:00.000;"      ";1152777;G05340;Vendor;00000785;306092;No;KOCHETKOVAN;3181.82;2018-07-31 00:00:00.000;00000785;DEFAULT;20.29;20.29;NULL;;FA;"      ";P;;;Vendor;Yes;0;FA9255;205927;;;No
66562;12666;2018;2018-04-13 00:00:00.000;2018-04-13 00:00:00.000;Invoice;1083283;ПОСЧ-10-08938;Vendor;00001835;287116;Yes;PSHUGA;-762.71;2018-04-13 00:00:00.000;68.02.01;СТАНДАРТ;19.03;NULL;19.03;;;"      ";;;;G/L Account;No;0;;;;;No
69304;213;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1355988;G22576;"      ";;359357;No;OYAKO;-370.56;2018-10-31 00:00:00.000;90.02.01;AB;20.23;NULL;20.23;;CE411;"      ";P;;;G/L Account;No;0;;;;;No
69305;3276;2018;2018-08-21 00:00:00.000;2018-08-21 00:00:00.000;Payment;1171342;G50569;Bank Account;БАНК001;310366;Yes;PSHUGA;-2100.00;2018-08-21 00:00:00.000;0000000358;СИТИ РУБ;51.01;NULL;51.01;;;"      ";;;;Vendor;No;0;;;;;No
69323;213;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1356004;G22576;"      ";;359365;No;OYAKO;-401.14;2018-10-31 00:00:00.000;90.02.01;AB;20.23;NULL;20.23;;CE452;"      ";P;;;G/L Account;No;0;;;;;No
69336;2049;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1225214;G05406;Vendor;00000617;325062;No;OYAKO;48.92;2018-10-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;FA;"      ";P;;;Vendor;Yes;0;FA9992;203026;;;No
72981;11456;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1356453;G22584;"      ";;359589;No;OYAKO;3068.58;2018-10-31 00:00:00.000;91.09;BA;99.01;99.01;NULL;;CE810;"      ";P;;;G/L Account;No;0;;;;;No
72996;2878;2018;2018-03-31 00:00:00.000;2018-03-31 00:00:00.000;"      ";1061850;G05284;Vendor;00001001;281580;No;KOCHETKOVAN;4190.01;2018-03-31 00:00:00.000;00001001;DEFAULT;20.24;20.24;NULL;;CE411;"      ";P;;;Vendor;No;0;;212498;;;No
73015;2878;2018;2018-03-31 00:00:00.000;2018-03-31 00:00:00.000;"      ";1061922;G05284;Vendor;00001001;281604;No;KOCHETKOVAN;8445.09;2018-03-31 00:00:00.000;00001001;DEFAULT;20.24;20.24;NULL;;CE450;"      ";P;;;Vendor;No;0;;208413;;;No
71812;10344;2018;2018-11-30 00:00:00.000;2018-11-30 00:00:00.000;"      ";1262874;G05420;Vendor;00001621;334824;No;OYAKO;-26666.67;2018-11-30 00:00:00.000;00001621;;20.17;NULL;20.17;;CE112;"      ";P;;;Vendor;No;0;;211447;;;Yes
71827;5173;2018;2018-04-19 00:00:00.000;2018-04-19 00:00:00.000;"      ";1080302;ПОСЧ-10-08907;"      ";;286133;Yes;SMIRNOVA;225.42;2018-04-19 00:00:00.000;;;10.06;10.06;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
71829;5173;2018;2018-04-19 00:00:00.000;2018-04-19 00:00:00.000;"      ";1080304;ПОСЧ-10-08907;"      ";;286133;Yes;SMIRNOVA;100.85;2018-04-19 00:00:00.000;;;10.06;10.06;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
71862;5173;2018;2018-04-19 00:00:00.000;2018-04-19 00:00:00.000;"      ";1080342;ПОСЧ-10-08907;"      ";;286133;Yes;SMIRNOVA;146.04;2018-04-19 00:00:00.000;;;10.06;10.06;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
75269;8305;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1226877;ТАО-10-00871;"      ";;325519;Yes;SMIRNOVA;-3364.41;2018-10-31 00:00:00.000;;;10.06;NULL;10.06;;FA;"      ";P;;;G/L Account;No;0;;;;;No
75270;16078;2018;2018-09-25 00:00:00.000;2018-09-25 00:00:00.000;Payment;1195995;G51506;Vendor;00000137;316851;Yes;PSHUGA;2979120.78;2018-09-25 00:00:00.000;БАНК001;СИТИ РУБ;60.07;60.07;NULL;;;"      ";;;;Bank Account;No;0;;;;;Yes
75271;4354;2018;2018-09-25 00:00:00.000;2018-09-25 00:00:00.000;Payment;1196010;G51511;Vendor;00000137;316857;Yes;PSHUGA;38157.02;2018-09-25 00:00:00.000;БАНК001;СИТИ РУБ;60.07;60.07;NULL;;;"      ";;;;Bank Account;No;0;;;;;Yes
63457;12007;2018;2018-11-13 00:00:00.000;2018-11-13 00:00:00.000;Payment;1245825;G53383;Bank Account;БАНК001;329959;Yes;PSHUGA;-93500.00;2018-11-13 00:00:00.000;00001967;СИТИ РУБ;51.01;NULL;51.01;;;"      ";;;;Vendor;No;0;;;;;No
71877;5173;2018;2018-04-19 00:00:00.000;2018-04-19 00:00:00.000;"      ";1080360;ПОСЧ-10-08907;"      ";;286133;Yes;SMIRNOVA;80.34;2018-04-19 00:00:00.000;;;10.06;10.06;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
71878;10344;2018;2018-11-30 00:00:00.000;2018-11-30 00:00:00.000;"      ";1263540;G05420;Vendor;00001403;334824;No;OYAKO;-40000.00;2018-11-30 00:00:00.000;00001403;;20.17;NULL;20.17;;CE410;"      ";P;;;Vendor;No;0;;211081;;;Yes
71880;10344;2018;2018-11-30 00:00:00.000;2018-11-30 00:00:00.000;"      ";1263554;G05420;Vendor;00001610;334824;No;OYAKO;-32380.95;2018-11-30 00:00:00.000;00001610;;20.17;NULL;20.17;;CE112;"      ";P;;;Vendor;No;0;;212658;;;Yes
63471;16893;2018;2018-11-13 00:00:00.000;2018-11-13 00:00:00.000;Payment;1245846;G53390;Bank Account;БАНК001;329966;Yes;PSHUGA;-24010.00;2018-11-13 00:00:00.000;00001582;СИТИ РУБ;51.01;NULL;51.01;;;"      ";;;;Vendor;No;0;;;;;No
63472;9704;2018;2018-11-20 00:00:00.000;2018-11-20 00:00:00.000;Payment;1246820;G53585;Bank Account;БАНК081;330248;Yes;NAUMOVAK;-27964.86;2018-11-20 00:00:00.000;00001723;СИТИ З/П;51.03;NULL;51.03;;;"      ";;;;Vendor;No;0;;;;;No
63473;7645;2018;2018-11-20 00:00:00.000;2018-11-20 00:00:00.000;Payment;1246826;G53587;Bank Account;БАНК081;330250;Yes;NAUMOVAK;-12428.71;2018-11-20 00:00:00.000;00001899;СИТИ З/П;51.03;NULL;51.03;;;"      ";;;;Vendor;No;0;;;;;No
73030;6122;2018;2018-04-30 00:00:00.000;2018-04-30 00:00:00.000;"      ";1090528;G05302;Vendor;00000961;289384;No;KOCHETKOVAN;476.18;2018-04-30 00:00:00.000;00000961;DEFAULT;20.28.1;20.28.1;NULL;;CE120;"      ";P;;;Vendor;No;0;;212660;;;No
73033;2878;2018;2018-03-31 00:00:00.000;2018-03-31 00:00:00.000;"      ";1061976;G05284;Vendor;00001001;281622;No;KOCHETKOVAN;-15708.45;2018-03-31 00:00:00.000;00001001;DEFAULT;20.24;NULL;20.24;;CE450;"      ";P;;;Vendor;No;0;;211699;;;No
73048;5434;2018;2018-11-30 00:00:00.000;2018-11-30 00:00:00.000;"      ";1360979;G22663;"      ";;361298;No;OYAKO;-174544.89;2018-11-30 00:00:00.000;90.09;AC;99.01;NULL;99.01;;CE120;"      ";P;;;G/L Account;No;0;;;;;No
75287;10934;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1226891;2018-1890;"      ";;325520;Yes;SMIRNOVA;-28813.56;2018-10-31 00:00:00.000;;;10.06;NULL;10.06;;FA;"      ";P;;;G/L Account;No;0;;;;КЮЛ-113;No
