pwc_id;pwc_doc_id;FY;Entry_date;GroupDate;Document_Type;Entry_number;Document_number;Source Type;Source_number;Transaction number;System-Created Entry;User;Entry_amount;Document Date;bal_account_number;Journal Batch Name;Account;Debit_account;Credit_account;Job No#;Specialism code;Gen_Posting_Type;Business line code;Gen_Bus_Posting_Group;Gen_Prod_Posting_Group;Bal_Account_Type;Allocated;Allocation From GL Entry No;Allocation Document No;Consultant code;Associate Код;Customer code;Revers74109;1017;2018;2018-06-30 00:00:00.000;2018-06-30 00:00:00.000;"      ";1134184;G05324;Vendor;00001001;300965;No;KOCHETKOVAN;744.61;2018-06-30 00:00:00.000;00001001;DEFAULT;20.28.2;20.28.2;NULL;;CE452;"      ";P;;;Vendor;No;0;;214858;;;No
11177937;7480;2018;2018-01-31 00:00:00.000;2018-01-31 00:00:00.000;"      ";1342129;G21863;"      ";;352903;No;TEST_USER;0.01;2018-01-31 00:00:00.000;90.02.01;AB;20.22;20.22;NULL;;CE810;"      ";T;;;G/L Account;No;0;;;;;No
11178004;16933;2018;2018-01-31 00:00:00.000;2018-01-31 00:00:00.000;"      ";1000071;G05243;Vendor;00000617;261254;No;TEST_USER;48.92;2018-01-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;CE112;"      ";P;;;Vendor;No;0;;206756;;;No
11178019;16933;2018;2018-01-31 00:00:00.000;2018-01-31 00:00:00.000;"      ";1000098;G05243;Vendor;00000617;261263;No;TEST_USER;48.92;2018-01-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;CE450;"      ";P;;;Vendor;No;0;;207279;;;No
11178020;16933;2018;2018-01-31 00:00:00.000;2018-01-31 00:00:00.000;"      ";1000104;G05243;Vendor;00000617;261265;No;TEST_USER;48.92;2018-01-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;CE112;"      ";P;;;Vendor;No;0;;207340;;;No
11178021;16933;2018;2018-01-31 00:00:00.000;2018-01-31 00:00:00.000;"      ";1000107;G05243;Vendor;00000617;261266;No;TEST_USER;48.92;2018-01-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;CE620;"      ";P;;;Vendor;No;0;;207488;;;No
11178022;16933;2018;2018-01-31 00:00:00.000;2018-01-31 00:00:00.000;"      ";1000110;G05243;Vendor;00000617;261267;No;TEST_USER;48.92;2018-01-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;CE520;"      ";P;;;Vendor;No;0;;207489;;;No
11170550;6755;2018;2018-12-31 00:00:00.000;2018-12-31 00:00:00.000;"      ";1317596;FA00278;"      ";;346389;Yes;TEST_USER;0.12;2018-12-31 00:00:00.000;;FA;20.23;20.23;NULL;;CE420;"      ";P;;;G/L Account;Yes;0;FA00278;212468;;;No
11170551;8668;2018;2018-03-31 00:00:00.000;2018-03-31 00:00:00.000;"      ";1069392;G05286;Vendor;00001784;283898;Yes;TEST_USER;-520.00;2018-03-31 00:00:00.000;;DEFAULT;68.01;NULL;68.01;;CE450;"      ";P;;;G/L Account;No;0;;211002;;;No
11170568;4434;2018;2018-12-19 00:00:00.000;2018-12-19 00:00:00.000;Invoice;1299634;ПОСЧ-10-09759;Vendor;00001379;341985;Yes;TEST_USER;0.00;2018-12-19 00:00:00.000;;;60.01;60.01;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
11177233;13985;2018;2018-06-28 00:00:00.000;2018-06-28 00:00:00.000;Payment;1125520;G48868;Vendor;00001799;298335;Yes;TEST_USER;1850.00;2018-06-28 00:00:00.000;БАНК001;СИТИ РУБ;60.01;60.01;NULL;;;"      ";;;;Bank Account;No;0;;;;;No
11177235;16090;2018;2018-08-13 00:00:00.000;2018-08-13 00:00:00.000;Invoice;1169547;2018-1390;Customer;КЮЛ-289;309744;Yes;TEST_USER;-54000.00;2018-08-13 00:00:00.000;;;68.02.01;NULL;68.02.01;2357487;CE410;"      ";P;;;G/L Account;No;0;;211920;А146;КЮЛ-289;No
11177236;8015;2018;2018-10-19 00:00:00.000;2018-10-19 00:00:00.000;Payment;1221087;G52443;Bank Account;БАНК081;323530;Yes;TEST_USER;-12483.00;2018-10-19 00:00:00.000;00001791;СИТИ З/П;51.03;NULL;51.03;;;"      ";;;;Vendor;No;0;;;;;No
11180493;14621;2018;2018-11-30 00:00:00.000;2018-11-30 00:00:00.000;"      ";1275513;G05425;Vendor;00001012;336364;No;TEST_USER;-4047.62;2018-11-30 00:00:00.000;00001012;;20.29;NULL;20.29;;FA;"      ";P;;;Vendor;Yes;0;FA9985;207163;;;Yes
